ComunidadID,PreguntaID,Pregunta,A,B,C,D
AND2021,1,"Es fundamento del orden político y de la paz social recogido en el artículo 10 de la
Constitución Española",La dignidad de las Instituciones,Los derechos de la ciudadanía,El respeto a los derechos especiales,El libre desarrollo de la personalidad
AND2021,2,"De acuerdo con lo establecido en el artículo 5 del Estatuto de autonomía, gozan
de la condición política de andaluces o andaluzas","Los ciudadanos españoles que, tengan vecindad administrativa en cualquiera de los
municipios de Andalucía","Residentes en el extranjero que hayan tenido la última vecindad administrativa en
Andalucía","Residentes en el extranjero que hayan tenido la última vecindad administrativa en
Andalucía y acrediten esta condición en el correspondiente Consulado de España.",Ninguna es correcta.
AND2021,3,"El objeto de la Ley 13/2007 de 26 de noviembre, de medidas de prevención y
protección integral contra la violencia de género es actuar contra...",Las actuaciones de prevención y de protección integral,"Las acciones de detección, atención y recuperación","contra la violencia que, como manifestación de la discriminación, la situación de
desigualdad y las relaciones de poder de los hombres sobre las mujeres, se ejerce sobre
éstas por el solo hecho de serlo",Todas son correctas
AND2021,4,"Según el artículo 4.2 de la Ley General de Sanidad las Comunidades
Autónomas crearán sus servicios de salud…",Dentro del marco de la Constitución y de sus respectivos Estatutos de Autonomía.,"Dentro del marco de la Ley General de Sanidad y de sus respectivos Estatutos de
Autonomía.",Dentro del marco de la Constitución y de la Ley General de Sanidad.,"Dentro del marco de la Ley General de Sanidad y de las leyes que la desarrollen.
Página 1 de 32"
AND2021,5,"¿Cuál de las siguientes expresiones es más correcta en relación con garantizar el
cumplimiento del derecho a la información al paciente?",El médico responsable del paciente.,"Los profesionales que le atiendan durante el proceso asistencial o le apliquen una
técnica o un procedimiento concreto.",La dirección del Centro,El jefe clínico del servicio asistencial en que se atiende al paciente
AND2021,6,"El desarrollo de las actividades de organización y prestación de los servicios
necesarios para la gestión de la Atención a la Dependencia en Andalucía es
competencia de:",Fundación Pública Andaluza Progreso y Salud.,Escuela Andaluza de Salud Pública.,Consejos de Salud de Área.,Agencia de Servicios Sociales y Dependencia de Andalucía.
AND2021,7,¿Qué se entiende por alerta sanitaria en la Ley de Salud Pública de Andalucía?,"Al conjunto de medidas que se toman desde la Red de Alertas Sanitarias para la
prevención de enfermedades y protección de la Salud.","Aquel sistema de información sanitaria que permite controlar peligros significativos en
el ámbito de la protección de la salud.","Todo fenómeno de potencial riesgo para la salud de la población y/o de trascendencia
social frente al que sea necesario desarrollar actuaciones de salud pública urgentes y
eficaces.",Ninguna es correcta.
AND2021,8,"En el marco de la Seguridad del Paciente, cuando se transfunde un concentrado de
hematíes a un paciente al que no corresponde la bolsa de sangre y este fallece por
una reacción hemolítica, esto debería clasificarse como un:",Cuasi-incidente.,Evento de Reason.,Evento centinela.,Error con graves consecuencias.
AND2021,9,"En los Sistemas de Gestión de la Calidad es comúnmente utilizado el ciclo de
Deming, también conocido como ciclo PDCA como herramienta para la mejora
continua de la calidad. Este ciclo está compuesto de estos cuatro pasos:",Planificar – Hacer – Verificar - Actuar.,Planificar – Identificar – Verificar - Actuar.,Planificar – Hacer – Identificar – volver a Planificar.,"Planificar – Modificar – Hacer - Actuar.
Página 2 de 32"
AND2021,10,"¿Cuál de los siguientes escenarios no forma parte del vigente Plan de Calidad del
Sistema Sanitario Público de Andalucía?",Profesionales.,Espacio compartido.,Asociaciones de pacientes.,Ciudadanía.
AND2021,11,"Según el Programa de Acreditación de Competencias Profesionales del SSPA, para
poder iniciar el proceso de acreditación profesional como enfermera, en cualquiera
de sus modalidades, se deberán cumplir los siguientes requisitos. Señala la
incorrecta:","Poseer, al menos, una de las titulaciones de Diplomado/a o Graduado/a en Enfermería.","Encontrarse en situación de activo en el puesto de trabajo en el que desarrolla las
competencias que solicita acreditar.","Tener plaza en propiedad con anterioridad al momento de presentación de la solicitud
de acreditación.","Haber prestado servicios de manera ininterrumpida en ese puesto de trabajo durante al
menos un año."
AND2021,12,"En todos los Manuales de acreditación, las Competencias Profesionales están
agrupadas en torno a 5 Bloques que dan respuesta al Modelo de Calidad del
Sistema Sanitario Público Andaluz. Indica cuál de las opciones no es un bloque que
se explore en la acreditación de competencias.",La eficiencia (uso eficiente de los recursos sanitarios).,"El ciudadano (satisfacción, participación y derechos).",Los resultados (orientación a resultados en el desempeño profesional).,"La mejora continua (aplicación de ciclos de mejora continua en todos los
procedimientos de la disciplina)."
AND2021,13,"En el proceso de acreditación profesional de nuestra Comunidad, en función de los
porcentajes de evidencias demostrados u obtenidos en cada uno de los grupos de
evidencias (Grupo I, II y III), el resultado podrá ser la Certificación en grado
Avanzado, Experto o Excelente. El porcentaje de evidencias requerido para obtener
el GRADO DE EXPERTO es:","El 70% del grupo I, incluyendo todos los obligatorios.","El 70% del grupo I, incluyendo todos los obligatorios y el 70% del grupo II.","El 70% del grupo I, incluyendo todos los obligatorios y el 50% del grupo II.","El 80% del grupo I, incluyendo todos los obligatorios, el 70% del grupo II y el 60% del
grupo III.
Página 3 de 32"
AND2021,14,"Para el ejercicio de una profesión sanitaria será necesario cumplir las obligaciones
y requisitos previstos en el ordenamiento jurídico vigente. En todo caso, para
ejercer una profesión sanitaria, será requisito:",No es necesario estar colegiado pero es útil para realizar actividades de formación.,"Estar colegiado, cuando una ley estatal establezca esta obligación para el ejercicio de
una profesión titulada o algunas actividades propias de estas.","Estar colegiado cuando así los establezca una ley propia de la Comunidad Autónoma
correspondiente.","Estar colegiado en caso de desarrollar la actividad propia de la profesión sanitaria
titulada en el ámbito de la sanidad pública."
AND2021,15,"El derecho a la Garantía de plazos de respuesta en el Sistema Sanitario Público de
Andalucía incluye plazos de respuesta para determinados procedimientos. ¿Cuál de
los siguientes no está recogido en este derecho?",Intervenciones quirúrgicas.,Primeras consultas.,Procedimientos diagnósticos.,Segunda opinión médica.
